Fecha,Muertes,Ubicacion
2023-04-21,0,Salta-Martín Mi...
2023-02-16,0,"near Berisso, BA"
2022-01-07,4,Río Grande-Gobe...
2022-11-02,0,Morón-Ituzaingo...
2020-05-11,0,Mendoza-El Plume...
2020-05-05,3,"near Esquel Airport, ..."
2020-04-05,0,San Fernando Air...
2019-12-29,0,"near Otamendi, BA"
2019-06-17,0,Joaquín V. Gonz...
2019-07-03,0,Buenos Aires-Jor...
2018-07-16,0,Cataratas del Ig...
2017-07-17,0,San Carlos de Ba...
2016-10-11,0,Buenos Aires/Eze...
2016-03-22,0,Río Grande Airp...
2015-10-19,0,San Fernando Air...
2014-09-14,2,"Nordelta, BA"
2014-10-03,0,"San Fernando, BA"
2013-11-15,0,Buenos Aires/Eze...
2013-07-11,0,Buenos Aires-Jor...
2013-07-11,0,Buenos Aires-Jor...
2013-11-02,0,Salta-Martín Mi...
2013-02-01,0,Mendoza-El Plume...
2012-04-07,0,El Palomar Airpo...
2011-05-18,22,"near Prahuaniyeu, RN"
2010-07-12,0,San Fernando Air...
2010-10-24,0,"near Santa Isabel, PA"
2008-04-04,0,near Comodoro Rivadav...
2006-12-15,0,Buenos Aires/Eze...
2006-10-19,0,Bahía Blanca-Co...
2006-08-28,0,near Salta-Martín Mi...
2004-02-20,0,Buenos Aires/Eze...
2003-10-26,5,near Buenos Aires/Eze...
2002-02-17,0,"San Juan, SJ"
2001-11-27,0,Bahía Blanca-Co...
2001-10-18,0,Bahía Blanca-Co...
2001-05-17,5,Mendoza-El Plume...
2001-04-28,10,"near Roque Pérez, BA"
2001-09-01,0,Buenos Aires/Eze...
2000-08-25,0,Rosario-Islas Ma...
2000-11-08,0,"General Acha, LP"
2000-01-04,1,"near Gualeguaychú, ER"
1999-08-31,63+ 2,Buenos Aires-Jor...
1999-02-24,0,Buenos Aires-Jor...
1998-11-23,0,Río Gallegos In...
1998-07-16,3,near Córdoba-Pajas B...
1998-07-16,0,Buenos Aires-Jor...
1998-06-25,0,Buenos Aires-Jor...
1998-03-06,0,Santa Fé-Sauce ...
1997-11-15,0,Río Grande Airp...
1997-07-02,4,near Salta Internatio...
1996-06-11,0,Buenos Aires/Eze...
1996-10-23,2,Buenos Aires/Eze...
1996-09-08,0,"Auca Mahuida, NE"
1996-07-25,0,Buenos Aires-Jor...
1996-05-15,0,"Tandil Airport, ..."
1996-12-04,0,Comodoro Rivadav...
1996-01-25,0,Rincón de Los S...
1996-01-24,0,Buenos Aires-Jor...
1995-08-11,53,"near Villa Dolores, CD"
1995-08-28,0,"Posadas Airport,..."
1995-09-08,1,"Sierras Grandes, CD"
1995-01-15,1,"near Neuquén, NE"
1994-12-21,0,Buenos Aires-Jor...
1994-11-13,0,Córdoba-Pajas B...
1994-09-29,8,near Córdoba-Pajas B...
1994-01-23,0,Santa Elena Airs...
1993-11-26,0,Buenos Aires/Eze...
1993-01-10,11,near Gobernador Cresp...
1993-03-09,0,Buenos Aires-Jor...
1992-01-01,0,Sierra Grande Ai...
1992-11-20,0,San Luis Airport...
1991-07-10,0,"Morón AB, BA"
1990-11-21,0,"Manantiales, MD"
1990-05-01,0,Villa Gesell Air...
1989-06-10,2,"Las Perdices, CD"
1989-09-23,2,"near Posadas Airport,..."
1989-09-20,0,Trelew-Almirante...
1989-08-16,0,San Carlos de Ba...
1988-09-26,0,"Ushuaia Airport,..."
1988-12-06,22,"near Posadas Airport,..."
1986-07-16,0,Ushuaia-Comandan...
1986-05-18,7,"Punta Mitre, CR"
1986-01-27,1,"Lago Gutierrez, RN"
1986-01-27,0,Buenos Aires/Eze...
1985-11-04,7,"near Salta, SA"
1985-03-20,3,"Lago Ullum, SJ"
1984-05-25,0,near Córdoba-Pajas B...
1984-05-15,12,"near Ushuaia Airport,..."
1983-04-11,2,"Alto Pencoso, Sa..."
1983-11-10,12,near Santa Isabel-Có...
1983-09-23,0,"Las Bolsas, SA"
1983-01-28,0,Río Gallegos In...
1981-07-05,31,near Buenos Aires-Jor...
1981-11-02,2,"near Mendoza, MD"
1980-12-11,0,Buenos Aires-Jor...
1980-06-30,0,"Buenos Aires, BA"
1978-11-30,1,"Jocoli, MD"
1978-08-24,0,Buenos Aires-Jor...
1978-03-08,0,near Buenos Aires/Eze...
1978-06-13,2,near Mendoza-El Plume...
1978-01-27,0,Buenos Aires-Jor...
1977-11-21,46,near San Carlos de Ba...
1977-08-11,2,"near Cosme Sud, CD"
1977-07-08,6,"near El Bolson, RN"
1977-05-23,0,"Morón, BA"
1977-09-02,2,"Huinca Renanco, CD"
1976-04-14,34,"near Cutral-Có , NE"
1975-11-15,0,near Concordia Airpor...
1975-05-10,0,Rafaela Aerodrom...
1975-08-28,4,Tucumán Airport...
1975-11-05,0,Buenos Aires-Jor...
1975-03-16,52,near San Carlos de Ba...
1975-05-01,13,"near La Angostura, TU"
1974-12-30,2,"Rio Cuarto, CD"
1973-04-12,0,Bahía Blanca-Co...
1973-05-30,0,Buenos Aires/Eze...
1973-03-29,2,Villa Reynolds A...
1973-03-29,2,Villa Reynolds A...
1972-10-13,29,near El Tiburcio
1971-10-19,3,Mt Santa Elena
1971-07-08,0,Villa Reynolds A...
1971-02-07,0,Buenos Aires/Eze...
1970-12-19,0,Sarmiento
1970-11-16,0,La Antigua
1970-07-28,0,Córdoba-Pajas B...
1970-12-07,0,Buenos Aires/Eze...
1970-10-06,0,"near La Rioja, LR"
1970-10-05,0,"Oncativo, CO"
1970-04-02,37,"Loma Alta, CH"
1969-12-17,0,Buenos Aires-Jor...
1969-11-27,0,near Santa Rosa Airpo...
1969-07-15,0,Bahía Blanca-Co...
1969-05-27,3,near Córdoba-Pajas B...
1969-05-05,11,"Río Cuarto, CD"
1968-07-11,0,near Mar Del Plata Ai...
1967-10-19,0,Pampa del Gigant...
1967-05-26,0,Buenos Aires/Eze...
1967-07-04,0,"near La Para, CD"
1966-06-12,0,"near Olacaputos, SA"
1966-08-17,1,"Puerto Lobos, CB"
1966-01-27,0,"near Río Cuarto, CD"
1965-08-16,1,"El Pucu, FO"
1965-12-05,0,near Mendoza-El Plume...
1964-09-12,2,"Córdoba, CD"
1964-06-26,0,near Río Gallegos In...
1964-06-25,0,Santiago del Est...
1964-04-30,0,"Laguna Brava, LR"
1964-09-01,30,"near Zaráte, BA"
1963-03-07,0,near Córdoba-Pajas B...
1963-03-04,0,"Punta Indio, BA"
1963-03-04,0,"Punta Indio, BA"
1962-10-29,0,"Bahia Aguirre, TF"
1962-09-25,0,"Tandil Airport, ..."
1962-08-30,1,"near Saladas, CR"
1962-04-26,2,Mendoza-El Plume...
1962-01-28,0,"near La Toma, SL"
1961-07-19,67,"near Pardo, BA"
1961-06-30,24,Buenos Aires-Jor...
1961-01-27,2,"near Mendoza, MD"
1960-11-12,31,near San Andrés de G...
1960-05-17,8,near El Sosneado
1960-02-20,0,Buenos Aires/Eze...
1959-12-12,0,"near Mendoza, MD"
1959-02-12,0,"Buenos Aires, BA"
1959-09-11,1,"Ferreyra, CD"
1959-07-14,0,Santiago del Est...
1959-03-07,0,near Córdoba-Pajas B...
1959-05-15,10,"near Mar del Plata, BA"
1959-01-16,51,"near Mar del Plata, BA"
1958-11-11,0,near Buenos Aires/Eze...
1958-12-08,12,"Trelew Airport, ..."
1958-01-14,7,"near Esquel Airport, ..."
1957-12-31,9,Buenos Aires Sea...
1957-08-12,61,"near Bolivar, BA"
1957-12-10,0,"Cafayate, SA"
1957-05-13,15,near San Carlos de Ba...
1957-11-01,17+ 1,Buenos Aires-Jor...
1956-10-14,0,"near Rauch, BA"
1956-07-16,18,"near Pavín, CD"
1956-06-28,0,near Resistencia Airp...
1956-04-05,3,"Villa Tesei, BA"
1956-03-19,0,near Curuzu Cuatia Ai...
1955-05-20,0,Río Gallegos-Ri...
1954-02-12,0,Villa Harding Gr...
1954-10-16,0,near Capilla del Senor
1954-04-23,25,Sierra del Vilgo...
1954-12-03,0,near Catamarca Airpor...
1953-12-11,13,"near Villa Mugueta, SF"
1953-10-17,0,"Jujuy Airport, P..."
1953-08-08,0,"Tartagal, Salta"
1953-07-23,0,"El Chanar, LR"
1953-06-17,0,"near Córdoba, CD"
1953-09-06,0,"near Juan A. Pradere, BA"
1953-10-03,4,near San Pedro de Col...
1951-09-18,4,"near Rafael Castillo, BA"
1951-06-21,0+ 2,Puerto Deseado A...
1951-03-06,0,Puerto Deseado A...
1951-04-30,4,near Punta Indio Nava...
1951-04-28,0,"near Los Antiguos, SC"
1951-03-26,11,"near Río Grande, TF"
1950-12-30,14,"near Cobo, BA"
1950-09-27,0,El Palomar Air B...
1950-12-06,0,Buenos Aires/Eze...
1949-10-25,6,Bolson de Burruy...
1949-09-27,5,"near Castilla, BA"
1949-08-31,0,"Ituzaingó, BA"
1949-02-17,8,near San Antonio de l...
1948-12-24,0,"Puerto Nuevo, BA"
1948-12-24,0,"Puerto Nuevo, BA"
1948-12-24,0,"Puerto Nuevo, BA"
1948-12-24,0,"Puerto Nuevo, BA"
1948-07-29,20,near Buenos Aires
1948-08-07,5,near Coronel Pringles...
1948-05-14,0,"near Junín Airport, ..."
1947-11-28,0,Bahía Blanca-Co...
1947-02-08,11,Tupungato Mountain
1947-07-24,2+ 1,"Morón AB, BA"
1947-07-21,14+ 3,"El Palomar, BA"
1946-11-30,5,El Palomar Air B...
1946-07-27,2,"General Pacheco, BA"
1945-03-12,14,near Carlos Pellegrin...
1944-01-20,11,near Mendoza-El Plume...
1940-12-24,0,Buenos Aires Har...
1939-11-15,0,"El Palomar, BA"
1938-07-15,0+ 1,"Morón, BA"
1937-08-23,3,"near San Luis, SL"
1934-11-06,5,Junin
1930-02-03,0,Cordoba
